Site,Species,temp,K,PAM,Replicate,Geno,curve_id
Darwin,Pavona_clavus,12,285.15,0.502,A,1,1
Darwin,Pavona_clavus,16,289.15,0.546,A,1,1
Darwin,Pavona_clavus,20,293.15,0.533,A,1,1
Darwin,Pavona_clavus,26,299.15,0.527,A,1,1
Darwin,Pavona_clavus,26,299.15,0.571,A,1,1
Darwin,Pavona_clavus,32.5,305.65,0.524,A,1,1
Darwin,Pavona_clavus,34,307.15,0.532,A,1,1
Darwin,Pavona_clavus,35.5,308.65,0.466,A,1,1
Darwin,Pavona_clavus,12,285.15,0.53,A,2,2
Darwin,Pavona_clavus,16,289.15,0.535,A,2,2
Darwin,Pavona_clavus,20,293.15,0.554,A,2,2
Darwin,Pavona_clavus,26,299.15,0.565,A,2,2
Darwin,Pavona_clavus,26,299.15,0.54,A,2,2
Darwin,Pavona_clavus,32.5,305.65,0.559,A,2,2
Darwin,Pavona_clavus,34,307.15,0.515,A,2,2
Darwin,Pavona_clavus,35.5,308.65,0.375,A,2,2
Darwin,Pavona_clavus,12,285.15,0.539,A,3,3
Darwin,Pavona_clavus,16,289.15,0.547,A,3,3
Darwin,Pavona_clavus,20,293.15,0.545,A,3,3
Darwin,Pavona_clavus,26,299.15,0.513,A,3,3
Darwin,Pavona_clavus,26,299.15,0.547,A,3,3
Darwin,Pavona_clavus,32.5,305.65,0.483,A,3,3
Darwin,Pavona_clavus,34,307.15,0.518,A,3,3
Darwin,Pavona_clavus,35.5,308.65,0.475,A,3,3
Darwin,Pavona_clavus,12,285.15,0.515,A,4,4
Darwin,Pavona_clavus,16,289.15,0.534,A,4,4
Darwin,Pavona_clavus,20,293.15,0.534,A,4,4
Darwin,Pavona_clavus,26,299.15,0.541,A,4,4
Darwin,Pavona_clavus,26,299.15,0.557,A,4,4
Darwin,Pavona_clavus,32.5,305.65,0.55,A,4,4
Darwin,Pavona_clavus,34,307.15,0.534,A,4,4
Darwin,Pavona_clavus,35.5,308.65,0.454,A,4,4
Darwin,Pavona_clavus,12,285.15,0.343,A,5,5
Darwin,Pavona_clavus,16,289.15,0.487,A,5,5
Darwin,Pavona_clavus,20,293.15,0.525,A,5,5
Darwin,Pavona_clavus,26,299.15,0.53,A,5,5
Darwin,Pavona_clavus,26,299.15,0.589,A,5,5
Darwin,Pavona_clavus,32.5,305.65,0.529,A,5,5
Darwin,Pavona_clavus,34,307.15,0.604,A,5,5
Darwin,Pavona_clavus,35.5,308.65,0.521,A,5,5
Darwin,Pavona_clavus,12,285.15,0.468,A,6,6
Darwin,Pavona_clavus,16,289.15,0.531,A,6,6
Darwin,Pavona_clavus,20,293.15,0.54,A,6,6
Darwin,Pavona_clavus,26,299.15,0.551,A,6,6
Darwin,Pavona_clavus,26,299.15,0.552,A,6,6
Darwin,Pavona_clavus,32.5,305.65,0.565,A,6,6
Darwin,Pavona_clavus,34,307.15,0.472,A,6,6
Darwin,Pavona_clavus,35.5,308.65,0.508,A,6,6
Darwin,Pavona_clavus,12,285.15,0.558,A,7,7
Darwin,Pavona_clavus,16,289.15,0.455,A,7,7
Darwin,Pavona_clavus,20,293.15,0.529,A,7,7
Darwin,Pavona_clavus,26,299.15,0.494,A,7,7
Darwin,Pavona_clavus,26,299.15,0.553,A,7,7
Darwin,Pavona_clavus,32.5,305.65,0.545,A,7,7
Darwin,Pavona_clavus,34,307.15,0.535,A,7,7
Darwin,Pavona_clavus,35.5,308.65,0.34,A,7,7
Darwin,Pavona_clavus,12,285.15,0.504,A,8,8
Darwin,Pavona_clavus,16,289.15,0.528,A,8,8
Darwin,Pavona_clavus,20,293.15,0.529,A,8,8
Darwin,Pavona_clavus,26,299.15,0.521,A,8,8
Darwin,Pavona_clavus,26,299.15,0.613,A,8,8
Darwin,Pavona_clavus,32.5,305.65,0.504,A,8,8
Darwin,Pavona_clavus,34,307.15,0.468,A,8,8
Darwin,Pavona_clavus,35.5,308.65,0.485,A,8,8
