Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.552,A,8
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.552,A,8
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.511,A,7
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.511,A,7
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.612,A,5
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.612,A,5
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.559,A,2
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.559,A,2
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.589,A,7
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.589,A,7
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.556,A,8
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.556,A,8
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.56,A,3
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.56,A,3
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.571,A,1
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.571,A,1
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.529,A,2
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.529,A,2
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.516,A,6
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.516,A,6
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.455,A,1
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.455,A,1
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.55,A,5
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.55,A,5
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.544,A,4
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.544,A,4
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.518,A,6
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.518,A,6
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.542,A,3
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.542,A,3
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.556,A,4
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.556,A,4
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.518,A,4
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.518,A,4
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.605,A,1
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.605,A,1
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.557,A,7
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.557,A,7
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.57,A,4
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.57,A,4
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.484,A,7
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.484,A,7
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.583,A,5
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.583,A,5
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.502,A,8
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.502,A,8
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.484,A,5
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.484,A,5
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.514,A,3
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.514,A,3
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.505,A,6
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.505,A,6
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.58,A,3
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.58,A,3
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.506,A,6
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.506,A,6
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.57,A,8
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.57,A,8
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.478,A,2
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.478,A,2
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.6,A,2
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.6,A,2
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.507,A,1
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.507,A,1
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.518,A,2
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.518,A,2
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.539,A,7
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.539,A,7
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.57,A,8
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.57,A,8
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.606,A,7
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.606,A,7
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.518,A,8
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.518,A,8
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.509,A,6
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.509,A,6
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.546,A,6
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.546,A,6
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.598,A,2
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.598,A,2
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.594,A,1
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.594,A,1
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.587,A,3
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.587,A,3
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.55,A,5
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.55,A,5
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.556,A,5
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.556,A,5
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.517,A,1
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.517,A,1
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.589,A,4
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.589,A,4
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.54,A,4
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.54,A,4
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.531,A,3
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.531,A,3
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.598,B,8
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.598,B,8
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.541,B,2
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.541,B,2
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.551,B,5
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.551,B,5
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.59,B,3
