Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno,Color_1,Color_2,ColorChange,avg_26_bygeno,sd_26_bygeno,PAMChange
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.552,A,8,5,3.5,-1.5,0.575,0.03252691193458114,-0.02299999999999991
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.511,A,7,6,5.5,-0.5,0.5255000000000001,0.020506096654409896,-0.014500000000000068
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.612,A,5,5.5,3.5,-2,0.598,0.019798989873223347,0.014000000000000012
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.559,A,2,5.5,3.5,-2,0.5675,0.01202081528017124,-0.008499999999999952
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.589,A,7,4.5,3,-1.5,0.5945,0.00777817459305203,-0.00550000000000006
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.556,A,8,5.5,5,-0.5,0.5575000000000001,0.0021213203435596446,-0.0015000000000000568
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.56,A,3,5.5,3.5,-2,0.575,0.021213203435596368,-0.014999999999999902
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.571,A,1,5.5,3.5,-2,0.5834999999999999,0.017677669529663705,-0.012499999999999956
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.529,A,2,5,4.5,-0.5,0.535,0.008485281374238578,-0.006000000000000005
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.516,A,6,3.5,2,-1.5,0.5489999999999999,0.046669047558312096,-0.03299999999999992
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.455,A,1,4,2.5,-1.5,0.48450000000000004,0.0417193000900063,-0.029500000000000026
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.55,A,5,4.5,2.5,-2,0.5505,7.071067811865482e-4,-4.999999999999449e-4
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.544,A,4,4.5,2.5,-2,0.5385,0.00777817459305203,0.00550000000000006
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.518,A,6,5.5,5.5,0,0.53,0.016970562748477157,-0.01200000000000001
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.542,A,3,4.5,4,-0.5,0.5445,0.0035355339059327407,-0.0024999999999999467
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.556,A,4,5.5,3,-2.5,0.5860000000000001,0.04242640687119281,-0.030000000000000027
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.518,A,4,4.5,4.5,0,0.5385,0.00777817459305203,-0.020499999999999963
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.605,A,1,5.5,4.5,-1,0.5834999999999999,0.017677669529663705,0.021500000000000075
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.557,A,7,5.5,3.5,-2,0.5945,0.00777817459305203,-0.03749999999999998
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.57,A,4,5.5,3.5,-2,0.5860000000000001,0.04242640687119281,-0.016000000000000125
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.484,A,7,5.5,4.5,-1,0.5255000000000001,0.020506096654409896,-0.04150000000000009
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.583,A,5,5.5,5,-0.5,0.598,0.019798989873223347,-0.015000000000000013
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.502,A,8,5,4.5,-0.5,0.5575000000000001,0.0021213203435596446,-0.055500000000000105
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.484,A,5,3,2.5,-0.5,0.5505,7.071067811865482e-4,-0.0665
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.514,A,3,5.5,5,-0.5,0.5445,0.0035355339059327407,-0.03049999999999997
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.505,A,6,5.5,5,-0.5,0.53,0.016970562748477157,-0.025000000000000022
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.58,A,3,5.5,3,-2.5,0.575,0.021213203435596368,0.0050000000000000044
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.506,A,6,5.5,4.5,-1,0.5489999999999999,0.046669047558312096,-0.04299999999999993
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.57,A,8,5.5,5,-0.5,0.575,0.03252691193458114,-0.0050000000000000044
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.478,A,2,4.5,4,-0.5,0.535,0.008485281374238578,-0.05700000000000005
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.6,A,2,NA,NA,NA,0.5675,0.01202081528017124,0.03249999999999997
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.507,A,1,4,3,-1,0.48450000000000004,0.0417193000900063,0.022499999999999964
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.518,A,2,3,3,0,0.535,0.008485281374238578,-0.017000000000000015
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.539,A,7,5,5,0,0.5255000000000001,0.020506096654409896,0.013499999999999956
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.57,A,8,5,3.5,-1.5,0.575,0.03252691193458114,-0.0050000000000000044
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.606,A,7,4.5,3,-1.5,0.5945,0.00777817459305203,0.011499999999999955
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.518,A,8,5,4.5,-0.5,0.5575000000000001,0.0021213203435596446,-0.03950000000000009
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.509,A,6,5,5,0,0.53,0.016970562748477157,-0.02100000000000002
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.546,A,6,3,4,1,0.5489999999999999,0.046669047558312096,-0.0029999999999998916
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.598,A,2,3,3,0,0.5675,0.01202081528017124,0.03049999999999997
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.594,A,1,3,3,0,0.5834999999999999,0.017677669529663705,0.010500000000000065
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.587,A,3,3,3.5,0.5,0.575,0.021213203435596368,0.01200000000000001
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.55,A,5,3,2.5,-0.5,0.5505,7.071067811865482e-4,-4.999999999999449e-4
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.556,A,5,4,3,-1,0.598,0.019798989873223347,-0.041999999999999926
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.517,A,1,3.5,2,-1.5,0.48450000000000004,0.0417193000900063,0.03249999999999997
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.589,A,4,3,3.5,0.5,0.5860000000000001,0.04242640687119281,0.0029999999999998916
