Site,Species,Treatment,PAM,Replicate,Geno,Color_1,Color_2,ColorChange
Floreana,Pocillopora_sp,26,0.552,A,8,5,3.5,-1.5
Floreana,Pavona_clavus,26,0.511,A,7,6,5.5,-0.5
Floreana,Pocillopora_sp,26,0.612,A,5,5.5,3.5,-2
Floreana,Pocillopora_sp,26,0.559,A,2,5.5,3.5,-2
Floreana,Pocillopora_sp,26,0.589,A,7,4.5,3,-1.5
Floreana,Pavona_clavus,26,0.556,A,8,5.5,5,-0.5
Floreana,Pocillopora_sp,26,0.56,A,3,5.5,3.5,-2
Floreana,Pocillopora_sp,26,0.571,A,1,5.5,3.5,-2
Floreana,Pavona_clavus,26,0.529,A,2,5,4.5,-0.5
Floreana,Pocillopora_sp,26,0.516,A,6,3.5,2,-1.5
Floreana,Pavona_clavus,26,0.455,A,1,4,2.5,-1.5
Floreana,Pavona_clavus,26,0.55,A,5,4.5,2.5,-2
Floreana,Pavona_clavus,26,0.544,A,4,4.5,2.5,-2
Floreana,Pavona_clavus,26,0.518,A,6,5.5,5.5,0
Floreana,Pavona_clavus,26,0.542,A,3,4.5,4,-0.5
Floreana,Pocillopora_sp,26,0.556,A,4,5.5,3,-2.5
Floreana,Pavona_clavus,34,0.518,A,4,4.5,4.5,0
Floreana,Pocillopora_sp,34,0.605,A,1,5.5,4.5,-1
Floreana,Pocillopora_sp,34,0.557,A,7,5.5,3.5,-2
Floreana,Pocillopora_sp,34,0.57,A,4,5.5,3.5,-2
Floreana,Pavona_clavus,34,0.484,A,7,5.5,4.5,-1
Floreana,Pocillopora_sp,34,0.583,A,5,5.5,5,-0.5
Floreana,Pavona_clavus,34,0.502,A,8,5,4.5,-0.5
Floreana,Pavona_clavus,34,0.484,A,5,3,2.5,-0.5
Floreana,Pavona_clavus,34,0.514,A,3,5.5,5,-0.5
Floreana,Pavona_clavus,34,0.505,A,6,5.5,5,-0.5
Floreana,Pocillopora_sp,34,0.58,A,3,5.5,3,-2.5
Floreana,Pocillopora_sp,34,0.506,A,6,5.5,4.5,-1
Floreana,Pocillopora_sp,34,0.57,A,8,5.5,5,-0.5
Floreana,Pavona_clavus,34,0.478,A,2,4.5,4,-0.5
Floreana,Pocillopora_sp,34,0.6,A,2,NA,NA,NA
Floreana,Pavona_clavus,34,0.507,A,1,4,3,-1
Floreana,Pavona_clavus,32.5,0.518,A,2,3,3,0
Floreana,Pavona_clavus,32.5,0.539,A,7,5,5,0
Floreana,Pocillopora_sp,32.5,0.57,A,8,5,3.5,-1.5
Floreana,Pocillopora_sp,32.5,0.606,A,7,4.5,3,-1.5
Floreana,Pavona_clavus,32.5,0.518,A,8,5,4.5,-0.5
Floreana,Pavona_clavus,32.5,0.509,A,6,5,5,0
Floreana,Pocillopora_sp,32.5,0.546,A,6,3,4,1
Floreana,Pocillopora_sp,32.5,0.598,A,2,3,3,0
Floreana,Pocillopora_sp,32.5,0.594,A,1,3,3,0
Floreana,Pocillopora_sp,32.5,0.587,A,3,3,3.5,0.5
Floreana,Pavona_clavus,32.5,0.55,A,5,3,2.5,-0.5
Floreana,Pocillopora_sp,32.5,0.556,A,5,4,3,-1
Floreana,Pavona_clavus,32.5,0.517,A,1,3.5,2,-1.5
Floreana,Pocillopora_sp,32.5,0.589,A,4,3,3.5,0.5
Floreana,Pavona_clavus,32.5,0.54,A,4,4,2,-2
Floreana,Pavona_clavus,32.5,0.531,A,3,4,2.5,-1.5
Floreana,Pocillopora_sp,26,0.598,B,8,3.5,3,-0.5
Floreana,Pavona_clavus,26,0.541,B,2,4,3.5,-0.5
Floreana,Pavona_clavus,26,0.551,B,5,2.5,2.5,0
Floreana,Pocillopora_sp,26,0.59,B,3,3.5,3,-0.5
Floreana,Pavona_clavus,26,0.542,B,6,5,4,-1
Floreana,Pocillopora_sp,26,0.596,B,1,2.5,2.5,0
Floreana,Pocillopora_sp,26,0.576,B,2,3,2.5,-0.5
Floreana,Pocillopora_sp,26,0.584,B,5,3.5,3.5,0
Floreana,Pocillopora_sp,26,0.6,B,7,4,3.5,-0.5
Floreana,Pocillopora_sp,26,0.616,B,4,3,3,0
Floreana,Pocillopora_sp,26,0.582,B,6,3,2.5,-0.5
Floreana,Pavona_clavus,26,0.533,B,4,4.5,2.5,-2
Floreana,Pavona_clavus,26,0.559,B,8,5,3.5,-1.5
Floreana,Pavona_clavus,26,0.547,B,3,4,3,-1
Floreana,Pavona_clavus,26,0.54,B,7,5.5,5,-0.5
Floreana,Pavona_clavus,26,0.514,B,1,1.5,1.5,0
Floreana,Pavona_clavus,34,0.501,B,7,5,4,-1
Floreana,Pavona_clavus,34,0.507,B,1,4.5,2,-2.5
Floreana,Pavona_clavus,34,0.531,B,8,4.5,2.5,-2
Floreana,Pavona_clavus,34,0.523,B,3,4.5,3.5,-1
Floreana,Pocillopora_sp,34,0.565,B,4,3,3,0
Floreana,Pavona_clavus,34,0.491,B,2,3.5,3,-0.5
Floreana,Pocillopora_sp,34,0.549,B,2,3,2.5,-0.5
Floreana,Pavona_clavus,34,0.509,B,6,5,3.5,-1.5
Floreana,Pavona_clavus,34,0.498,B,5,3.5,2.5,-1
Floreana,Pocillopora_sp,34,0.553,B,3,3,3,0
Floreana,Pavona_clavus,34,0.511,B,4,4,2.5,-1.5
Floreana,Pocillopora_sp,34,0.602,B,8,3,3,0
Floreana,Pocillopora_sp,34,0.565,B,6,3,3,0
Floreana,Pocillopora_sp,34,0.458,B,5,3,2.5,-0.5
Floreana,Pocillopora_sp,34,0.59,B,7,4.5,2.5,-2
Floreana,Pocillopora_sp,34,0.59,B,1,3,3,0
Floreana,Pocillopora_sp,32.5,0.534,B,6,3,2.5,-0.5
Floreana,Pavona_clavus,32.5,0.519,B,2,3,3,0
Floreana,Pocillopora_sp,32.5,0.578,B,7,3,2.5,-0.5
Floreana,Pocillopora_sp,32.5,0.598,B,5,3,2.5,-0.5
Floreana,Pocillopora_sp,32.5,0.537,B,4,3,3,0
Floreana,Pocillopora_sp,32.5,0.59,B,8,3,3,0
Floreana,Pavona_clavus,32.5,0.511,B,7,4.5,4,-0.5
Floreana,Pocillopora_sp,32.5,0.543,B,3,3,2.5,-0.5
Floreana,Pocillopora_sp,32.5,0.574,B,1,3,2.5,-0.5
Floreana,Pavona_clavus,32.5,0.537,B,5,3.5,2,-1.5
Floreana,Pavona_clavus,32.5,0.546,B,3,4,3,-1
Floreana,Pocillopora_sp,32.5,0.584,B,2,3,2,-1
Floreana,Pavona_clavus,32.5,0.503,B,6,5,4.5,-0.5
Floreana,Pavona_clavus,32.5,0.506,B,8,4.5,3,-1.5
Floreana,Pavona_clavus,32.5,0.491,B,1,3,2.5,-0.5
Floreana,Pavona_clavus,32.5,0.504,B,4,2.5,2,-0.5
Floreana,Pocillopora_sp,31,0.598,B,4,3,3,0
Floreana,Pavona_clavus,31,0.525,B,7,4,4,0
Floreana,Pavona_clavus,31,0.529,B,8,5,5,0
Floreana,Pavona_clavus,31,0.531,B,6,6,5,-1
Floreana,Pavona_clavus,31,0.493,B,1,3,2,-1
Floreana,Pocillopora_sp,31,0.593,B,8,3,3,0
Floreana,Pocillopora_sp,31,0.594,B,2,3,3,0
Floreana,Pocillopora_sp,31,0.56,B,1,3,3,0
Floreana,Pavona_clavus,31,0.501,B,2,2.5,2,-0.5
Floreana,Pavona_clavus,31,0.547,B,4,3.5,2,-1.5
Floreana,Pavona_clavus,31,0.545,B,5,3,3,0
Floreana,Pocillopora_sp,31,0.585,B,5,3,3,0
Floreana,Pocillopora_sp,31,0.521,B,6,2,2.5,0.5
Floreana,Pavona_clavus,31,0.546,B,5,3.5,2,-1.5
Floreana,Pocillopora_sp,31,0.555,B,3,3,3,0
Floreana,Pocillopora_sp,31,0.607,B,7,3,2.5,-0.5
Floreana,Pocillopora_sp,26,0.549,A,5,2,2,0
Floreana,Pocillopora_sp,26,0.614,A,7,5,4,-1
Floreana,Pavona_clavus,26,0.552,A,7,4,4,0
Floreana,Pocillopora_sp,26,0.622,A,1,3,3,0
Floreana,Pavona_clavus,26,0.524,A,6,5.5,5.5,0
Floreana,Pocillopora_sp,26,0.534,A,6,2,2,0
Floreana,Pocillopora_sp,26,0.627,A,3,3,3,0
Floreana,Pavona_clavus,26,0.542,A,3,3.5,3.5,0
Floreana,Pavona_clavus,26,0.531,A,5,3.5,3,-0.5
Floreana,Pavona_clavus,26,0.522,A,2,2.5,3,0.5
Floreana,Pavona_clavus,26,0.513,A,4,2.5,2.5,0
Floreana,Pavona_clavus,26,0.54,A,8,5.5,5.5,0
Floreana,Pavona_clavus,26,0.498,A,1,2,2,0
Floreana,Pocillopora_sp,26,0.58,A,2,3,3,0
Floreana,Pocillopora_sp,26,0.543,A,4,2.5,3,0.5
Floreana,Pocillopora_sp,26,0.574,A,8,3,3,0
Floreana,Pavona_clavus,16,0.459,A,5,3,3,0
Floreana,Pavona_clavus,16,0.501,A,6,6,5.5,-0.5
Floreana,Pocillopora_sp,16,0.485,A,1,3,2.5,-0.5
Floreana,Pocillopora_sp,16,0.555,A,6,3,3,0
Floreana,Pocillopora_sp,16,0.517,A,8,2.5,2.5,0
Floreana,Pavona_clavus,16,0.506,A,3,2.5,2.5,0
Floreana,Pocillopora_sp,16,0.538,A,4,3,3,0
Floreana,Pocillopora_sp,16,0.52,A,3,2.5,3,0.5
Floreana,Pocillopora_sp,16,0.521,A,7,4,4,0
Floreana,Pocillopora_sp,16,0.546,A,2,3,3.5,0.5
Floreana,Pavona_clavus,16,0.371,A,1,2.5,2,-0.5
Floreana,Pocillopora_sp,16,0.45,A,5,1.5,2,0.5
Floreana,Pavona_clavus,16,0.477,A,4,3.5,3.5,0
Floreana,Pavona_clavus,16,0.454,A,7,3.5,4,0.5
Floreana,Pavona_clavus,16,0.448,A,2,3,3.5,0.5
Floreana,Pavona_clavus,16,0.496,A,8,4,4.5,0.5
Floreana,Pocillopora_sp,14,0.501,A,2,3,2.5,-0.5
Floreana,Pocillopora_sp,14,0.47,A,8,2.5,2,-0.5
Floreana,Pocillopora_sp,14,0.496,A,7,3.5,3.5,0
Floreana,Pavona_clavus,14,0.391,A,5,2.5,2.5,0
Floreana,Pocillopora_sp,14,0.487,A,4,3,2.5,-0.5
Floreana,Pavona_clavus,14,0.493,A,8,5,5,0
Floreana,Pavona_clavus,14,0.474,A,4,3,2,-1
Floreana,Pavona_clavus,14,0.488,A,3,3,2.5,-0.5
