Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno,Color_1,Color_2,ColorChange,avg_26_bygeno,sd_26_bygeno,PAMChange
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,26,Cold,0.549,A,5,2,2,0,0.5525,0.004949747468305837,-0.0034999999999999476
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,26,Cold,0.549,A,5,2,2,0,0.5525,0.004949747468305837,-0.0034999999999999476
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,26,Cold,0.614,A,7,5,4,-1,0.611,0.004242640687119289,0.0030000000000000027
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,26,Cold,0.614,A,7,5,4,-1,0.611,0.004242640687119289,0.0030000000000000027
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,26,Cold,0.552,A,7,4,4,0,0.519,0.04666904755831218,0.03300000000000003
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,26,Cold,0.552,A,7,4,4,0,0.519,0.04666904755831218,0.03300000000000003
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,26,Cold,0.622,A,1,3,3,0,0.599,0.03252691193458122,0.02300000000000002
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,26,Cold,0.622,A,1,3,3,0,0.599,0.03252691193458122,0.02300000000000002
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,26,Cold,0.524,A,6,5.5,5.5,0,0.5275000000000001,0.004949747468305837,-0.0035000000000000586
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,26,Cold,0.524,A,6,5.5,5.5,0,0.5275000000000001,0.004949747468305837,-0.0035000000000000586
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,26,Cold,0.534,A,6,2,2,0,0.5485,0.02050609665440982,-0.014499999999999957
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,26,Cold,0.534,A,6,2,2,0,0.5485,0.02050609665440982,-0.014499999999999957
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,26,Cold,0.627,A,3,3,3,0,0.589,0.05374011537017758,0.038000000000000034
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,26,Cold,0.627,A,3,3,3,0,0.589,0.05374011537017758,0.038000000000000034
